iter	Passed	Remaining
425	1847	2489
426	1851	2484
427	1855	2479
428	1859	2474
429	1863	2470
430	1867	2465
431	1871	2460
432	1875	2455
433	1879	2451
434	1883	2446
435	1887	2441
436	1891	2436
437	1895	2432
438	1899	2427
439	1903	2422
440	1907	2417
441	1911	2412
442	1915	2408
443	1919	2403
444	1922	2398
445	1926	2393
446	1930	2388
447	1934	2383
448	1938	2378
449	1942	2374
450	1946	2369
451	1950	2364
452	1954	2360
453	1958	2355
454	1962	2350
455	1966	2345
456	1970	2341
457	1974	2336
458	1978	2331
459	1982	2327
460	1986	2322
461	1990	2317
462	1994	2313
463	1998	2308
464	2002	2304
465	2006	2299
466	2010	2295
467	2014	2290
468	2018	2285
469	2023	2281
470	2027	2276
471	2030	2271
472	2034	2267
473	2038	2262
474	2042	2257
475	2046	2252
476	2050	2248
477	2054	2243
478	2058	2238
479	2062	2233
480	2065	2229
481	2070	2224
482	2074	2220
483	2078	2215
484	2082	2210
485	2086	2206
486	2090	2201
487	2094	2197
488	2098	2192
489	2102	2187
490	2105	2183
491	2109	2178
492	2114	2174
493	2118	2169
494	2121	2164
495	2125	2160
496	2129	2155
497	2133	2150
498	2137	2145
499	2141	2141
500	2145	2136
501	2149	2131
502	2153	2127
503	2156	2122
504	2160	2117
505	2164	2113
506	2168	2108
507	2172	2104
508	2176	2099
509	2180	2095
510	2185	2091
511	2189	2086
512	2193	2082
513	2197	2077
514	2201	2073
515	2205	2068
516	2209	2064
517	2213	2059
518	2217	2055
519	2221	2050
520	2225	2046
521	2229	2041
522	2233	2037
523	2237	2032
524	2241	2027
525	2245	2023
526	2249	2018
527	2253	2014
528	2256	2009
529	2260	2004
530	2264	2000
531	2268	1995
532	2272	1991
533	2276	1986
534	2280	1982
535	2284	1977
536	2288	1973
537	2292	1968
538	2296	1963
539	2300	1959
540	2304	1955
541	2308	1950
542	2312	1946
543	2316	1941
544	2320	1937
545	2324	1932
546	2328	1928
547	2332	1923
548	2336	1919
549	2340	1915
550	2344	1910
551	2348	1906
552	2352	1901
553	2356	1897
554	2360	1892
555	2364	1888
556	2368	1884
557	2373	1879
558	2377	1875
559	2381	1871
560	2385	1866
561	2389	1862
562	2394	1858
563	2397	1853
564	2401	1849
565	2405	1844
566	2410	1840
567	2414	1836
568	2418	1831
569	2422	1827
570	2426	1822
571	2430	1818
572	2434	1813
573	2438	1809
574	2442	1804
575	2446	1801
576	2450	1796
577	2455	1792
578	2459	1788
579	2463	1783
580	2467	1779
581	2471	1775
582	2475	1770
583	2479	1766
584	2483	1761
585	2487	1757
586	2492	1753
587	2495	1748
588	2499	1744
589	2503	1739
590	2507	1735
591	2511	1731
592	2515	1726
593	2519	1722
594	2524	1718
595	2528	1713
596	2531	1709
597	2535	1704
598	2540	1700
599	2543	1695
600	2547	1691
601	2551	1687
602	2556	1683
603	2560	1678
604	2564	1674
605	2568	1670
606	2573	1666
607	2577	1661
608	2582	1657
609	2586	1653
610	2591	1649
611	2595	1645
612	2599	1641
613	2603	1636
614	2607	1632
615	2612	1628
616	2616	1624
617	2620	1619
618	2625	1615
619	2629	1611
620	2633	1607
621	2637	1602
622	2641	1598
623	2645	1594
624	2649	1589
625	2653	1585
626	2658	1581
627	2662	1576
628	2666	1572
629	2670	1568
630	2674	1564
631	2678	1559
632	2682	1555
633	2686	1550
634	2691	1547
635	2695	1542
636	2699	1538
637	2703	1534
638	2708	1530
639	2712	1525
640	2716	1521
641	2720	1517
642	2725	1513
643	2729	1508
644	2732	1504
645	2736	1499
646	2740	1495
647	2744	1490
648	2748	1486
649	2752	1482
650	2756	1477
651	2760	1473
652	2764	1469
653	2768	1464
654	2772	1460
655	2776	1456
656	2780	1451
657	2784	1447
658	2788	1443
659	2793	1439
660	2797	1434
661	2801	1430
662	2805	1425
663	2809	1421
664	2813	1417
665	2817	1412
666	2821	1408
667	2825	1404
668	2829	1399
669	2833	1395
670	2837	1391
671	2841	1386
672	2844	1382
673	2848	1377
674	2852	1373
675	2856	1369
676	2860	1364
677	2864	1360
678	2868	1355
679	2872	1351
680	2875	1347
681	2879	1342
682	2883	1338
683	2887	1333
684	2891	1329
685	2895	1325
686	2898	1320
687	2903	1316
688	2906	1312
689	2910	1307
690	2914	1303
691	2918	1299
692	2922	1294
693	2926	1290
694	2930	1286
695	2934	1281
696	2938	1277
697	2942	1273
698	2946	1268
699	2950	1264
700	2954	1260
701	2958	1255
702	2962	1251
703	2965	1247
704	2969	1242
705	2974	1238
706	2978	1234
707	2982	1229
708	2986	1225
709	3001	1225
710	3008	1222
711	3012	1218
712	3016	1214
713	3020	1210
714	3025	1205
715	3029	1201
716	3033	1197
717	3037	1192
718	3040	1188
719	3044	1184
720	3048	1179
721	3052	1175
722	3056	1171
723	3060	1166
724	3064	1162
725	3068	1157
726	3071	1153
727	3075	1149
728	3079	1144
729	3083	1140
730	3087	1136
731	3091	1131
732	3095	1127
733	3099	1123
734	3103	1118
735	3107	1114
736	3111	1110
737	3115	1105
738	3119	1101
739	3123	1097
740	3127	1093
741	3131	1088
742	3135	1084
743	3139	1080
744	3142	1075
745	3146	1071
746	3150	1067
747	3154	1062
748	3158	1058
749	3162	1054
750	3166	1049
751	3170	1045
752	3174	1041
753	3178	1037
754	3182	1032
755	3186	1028
756	3190	1024
757	3194	1019
758	3198	1015
759	3203	1011
760	3206	1007
761	3210	1002
762	3214	998
763	3218	994
764	3222	990
765	3226	985
766	3230	981
767	3234	977
768	3238	972
769	3242	968
770	3246	964
771	3250	959
772	3254	955
773	3257	951
774	3261	946
775	3265	942
776	3269	938
777	3273	934
778	3277	929
779	3281	925
780	3285	921
781	3288	916
782	3292	912
783	3296	908
784	3300	903
785	3304	899
786	3308	895
787	3312	891
788	3316	886
789	3320	882
790	3323	878
791	3327	873
792	3331	869
793	3335	865
794	3339	861
795	3343	856
796	3346	852
797	3350	848
798	3354	843
799	3358	839
800	3362	835
801	3366	831
802	3370	826
803	3374	822
804	3378	818
805	3382	814
806	3386	809
807	3390	805
808	3394	801
809	3398	797
810	3402	792
811	3406	788
812	3410	784
813	3414	780
814	3418	776
815	3422	771
816	3426	767
817	3430	763
818	3434	759
819	3438	754
820	3442	750
821	3446	746
822	3450	742
823	3454	737
824	3458	733
825	3462	729
826	3466	725
827	3469	720
828	3473	716
829	3477	712
830	3481	707
831	3485	703
832	3488	699
833	3493	695
834	3496	691
835	3500	686
836	3504	682
837	3508	678
838	3512	674
839	3516	669
840	3520	665
841	3524	661
842	3528	657
843	3532	652
844	3536	648
845	3540	644
846	3543	640
847	3547	635
848	3551	631
849	3555	627
850	3559	623
851	3563	618
852	3567	614
853	3571	610
854	3574	606
855	3579	602
856	3583	597
857	3587	593
858	3591	589
859	3595	585
860	3599	581
861	3603	576
862	3607	572
863	3611	568
864	3615	564
865	3619	560
866	3623	555
867	3627	551
868	3631	547
869	3635	543
870	3639	539
871	3643	534
872	3647	530
873	3651	526
874	3655	522
875	3658	517
876	3662	513
877	3666	509
878	3670	505
879	3674	501
880	3678	496
881	3682	492
882	3686	488
883	3690	484
884	3694	480
885	3698	475
886	3701	471
887	3705	467
888	3709	463
889	3713	458
890	3718	454
891	3722	450
892	3726	446
