iter	RMSE
144	3.275322064
145	3.274503295
146	3.273712889
147	3.272834633
148	3.271915835
149	3.27111411
150	3.270209376
151	3.269374786
152	3.268411349
153	3.2675892
154	3.26664818
155	3.265918087
156	3.265014067
157	3.264104117
158	3.26320345
159	3.262412674
160	3.261556542
161	3.257853263
162	3.256983042
163	3.256085155
164	3.255165717
165	3.25432862
166	3.253396325
167	3.252566585
168	3.251656496
169	3.250766748
170	3.245616971
171	3.244827723
172	3.243937046
173	3.243070457
174	3.242198707
175	3.241324179
176	3.240442842
177	3.239559081
178	3.238650967
179	3.237749628
180	3.23684672
181	3.2359485
182	3.235104705
183	3.231216938
184	3.230328886
185	3.225598334
186	3.224777286
187	3.222138317
188	3.221237548
189	3.220360721
190	3.217630506
191	3.216741979
192	3.21586486
193	3.214991636
194	3.214091218
195	3.21321222
196	3.212338553
197	3.211475729
198	3.208742372
199	3.20786248
200	3.206996381
201	3.206128047
202	3.205267295
203	3.204412555
204	3.203544032
205	3.20268982
206	3.201841263
207	3.20099584
208	3.200160596
209	3.199308551
210	3.195769918
211	3.194932804
212	3.194098564
213	3.193270978
214	3.192437429
215	3.191607489
216	3.190771821
217	3.189941003
218	3.189120954
219	3.188301884
220	3.187481915
221	3.186663201
222	3.185845759
223	3.185029428
224	3.182050982
225	3.181237456
226	3.180427729
227	3.177730454
228	3.174998484
229	3.174190268
230	3.173384293
231	3.172583426
232	3.171782959
233	3.170984398
234	3.17018964
235	3.169393745
236	3.166565496
237	3.165769512
238	3.164975161
239	3.164182712
240	3.163395135
241	3.162611082
242	3.161828507
243	3.161048928
244	3.160269145
245	3.159492011
246	3.158713909
247	3.157937249
248	3.157163199
249	3.156387133
250	3.155612104
251	3.154838667
252	3.154068183
253	3.153299321
254	3.150643591
255	3.149875851
256	3.149111189
257	3.148346414
258	3.147584
259	3.144984264
260	3.144221944
261	3.143460663
262	3.142699861
263	3.141940133
264	3.139439707
265	3.138681832
266	3.137924912
267	3.137170247
268	3.1364157
269	3.135663081
270	3.134911608
271	3.132517953
272	3.131766645
273	3.131018139
274	3.128717104
275	3.127969135
276	3.127223213
277	3.126477344
278	3.125732784
279	3.124990146
280	3.124248337
281	3.123507369
282	3.122768303
283	3.122030118
284	3.121293648
285	3.120558033
286	3.119823534
287	3.119090193
288	3.118358277
289	3.117628405
290	3.116898563
291	3.116169976
292	3.115442047
293	3.114714671
294	3.113988072
295	3.113262802
296	3.112538242
297	3.111814786
298	3.111092234
299	3.110371347
300	3.109651271
301	3.108932894
302	3.108214803
303	3.10749747
304	3.106780737
305	3.106064886
306	3.103268085
307	3.102552634
308	3.101838471
309	3.101125089
310	3.098353879
311	3.097639708
312	3.096926764
313	3.096214925
314	3.093854818
315	3.091570316
316	3.090858132
317	3.090148079
318	3.08943903
319	3.088730922
320	3.0880242
321	3.087318561
322	3.086614001
323	3.085910512
324	3.085208138
325	3.08450666
326	3.083806377
327	3.083106633
328	3.082407906
329	3.081709699
330	3.081012442
331	3.080315833
332	3.079620497
333	3.07892605
334	3.078233107
335	3.077540898
336	3.076849633
337	3.076159151
338	3.075469969
339	3.07478183
340	3.074094425
341	3.07340825
342	3.072722852
343	3.072038183
344	3.071354672
345	3.070671688
346	3.069989367
347	3.069307624
348	3.068626384
349	3.067946142
350	3.067266629
351	3.066588156
352	3.065910083
353	3.065233243
354	3.06455722
355	3.063881989
356	3.061501765
357	3.060825955
358	3.06015146
359	3.059478136
360	3.058805654
361	3.058133938
362	3.057463414
363	3.056793587
364	3.056124784
365	3.055456869
366	3.05478957
367	3.054122641
368	3.053455983
369	3.052789955
370	3.05212474
371	3.051460408
372	3.049281489
373	3.048616824
374	3.047953757
375	3.045797699
376	3.04513476
377	3.044472957
378	3.043811983
379	3.043151907
380	3.042492552
381	3.041833476
382	3.041174885
383	3.04051783
384	3.039861878
385	3.039206997
386	3.038552725
387	3.037898983
388	3.037245917
389	3.036593646
390	3.035942029
391	3.035290675
392	3.034639826
393	3.03398942
394	3.033339598
395	3.032690944
396	3.032043336
397	3.031396597
398	3.0307506
399	3.030105121
400	3.029460306
401	3.028816199
402	3.028172278
403	3.02752867
404	3.026885918
405	3.026244326
406	3.025603722
407	3.024964056
408	3.024324988
409	3.022287765
410	3.021648952
411	3.021010862
412	3.0203736
413	3.018037057
414	3.017397121
415	3.016759967
416	3.01435906
417	3.013721398
418	3.01308452
419	3.012448738
420	3.011813492
421	3.011178967
422	3.01054512
423	3.009911983
424	3.009279498
425	3.008647482
426	3.008016141
427	3.007385361
428	3.006755304
429	3.006125887
430	3.005497384
431	3.004869402
432	3.004242108
433	3.003615753
434	3.002989941
435	3.002365374
436	3.001741189
437	2.999914204
438	2.997794176
439	2.99716899
440	2.996544843
441	2.995921299
442	2.99529825
443	2.994675726
444	2.994053939
445	2.993433557
446	2.992813622
447	2.992194302
448	2.991575806
449	2.990957894
450	2.988795571
451	2.988177709
452	2.987560739
453	2.986944249
454	2.986328714
455	2.985714154
456	2.985100039
457	2.984486235
458	2.983873287
459	2.983261548
460	2.982650231
461	2.982039618
462	2.98142944
463	2.980819648
464	2.980210323
465	2.979601578
466	2.978993186
467	2.978385923
468	2.977779361
469	2.977173215
470	2.976567414
471	2.97596252
472	2.975358133
473	2.974754083
474	2.974150796
475	2.97354817
476	2.972945994
477	2.972344618
478	2.971744081
479	2.971144021
480	2.970544371
481	2.969945236
482	2.969347034
483	2.968749546
484	2.96815247
485	2.967556027
486	2.966959847
487	2.966363999
488	2.96576861
489	2.96517355
490	2.964578845
491	2.963984526
492	2.961897779
493	2.961303199
494	2.9607095
495	2.960116869
496	2.959525092
497	2.958933657
498	2.958342418
499	2.957751598
500	2.957161297
501	2.956571337
502	2.955981785
503	2.955393086
504	2.95480484
505	2.954217069
506	2.953629865
507	2.953043346
508	2.952457325
509	2.951872203
510	2.951287344
511	2.950703054
512	2.950119451
513	2.949536412
514	2.948953653
515	2.948371386
516	2.947789312
517	2.946058402
518	2.945476351
519	2.944894888
520	2.944314156
521	2.943733729
522	2.943153692
523	2.942574654
524	2.941996123
525	2.941417817
526	2.939345114
527	2.938766658
528	2.93818885
529	2.936225133
530	2.935647029
531	2.933475931
532	2.932897185
533	2.93231972
534	2.930256212
535	2.929677992
536	2.929101244
537	2.928525088
538	2.92794955
539	2.925988821
540	2.92541318
541	2.924838897
542	2.924265596
543	2.923693015
544	2.923120985
545	2.922549509
546	2.9219787
547	2.921408346
548	2.920838884
549	2.920270382
550	2.919702261
551	2.919134353
552	2.91856681
553	2.917999645
554	2.917433012
555	2.916866698
556	2.916300653
557	2.91573534
558	2.915170389
559	2.914606078
560	2.914042097
561	2.913478278
562	2.911148487
563	2.910584287
564	2.910021032
565	2.909458401
566	2.908896303
567	2.908334629
568	2.905952433
569	2.905389092
570	2.904827191
571	2.904266211
572	2.903705756
573	2.903145865
574	2.902586555
575	2.902027934
576	2.90147005
577	2.900912943
578	2.900356376
579	2.89980027
580	2.899244585
581	2.898689363
582	2.898134545
583	2.897580074
584	2.897025841
585	2.896472081
586	2.895918847
587	2.895366162
588	2.894813737
589	2.894261719
590	2.893710189
591	2.893159095
592	2.89260857
593	2.890790167
594	2.89023955
595	2.889689245
596	2.889139609
597	2.888590593
598	2.888041868
599	2.887493419
600	2.886945357
601	2.886397777
602	2.885850836
603	2.885304502
604	2.884758781
605	2.884213404
606	2.88366889
607	2.883124634
608	2.882581
609	2.882037678
610	2.881494758
611	2.880952484
612	2.880410323
613	2.879868456
614	2.879326936
615	2.878785723
616	2.878244857
617	2.877704326
618	2.877164089
619	2.876624316
620	2.876084868
621	2.875545763
622	2.875007271
623	2.874468953
624	2.873930942
625	2.873393586
626	2.872856709
627	2.872320203
628	2.871783896
629	2.87124805
630	2.870712602
631	2.870177743
632	2.869643503
633	2.869109885
634	2.868576602
635	2.866097625
636	2.865563981
637	2.865031472
638	2.864499446
639	2.86396792
640	2.863436712
641	2.86146494
642	2.859729054
643	2.8591964
644	2.858664822
645	2.85813362
646	2.857603116
647	2.857073507
648	2.855326432
649	2.854796506
650	2.854267409
651	2.853738971
652	2.853210916
653	2.852682919
654	2.852155139
655	2.851627556
656	2.851100401
657	2.850573679
658	2.850047482
659	2.849521666
660	2.848996456
661	2.848471564
662	2.847947023
663	2.847423112
664	2.846899698
665	2.845155884
666	2.844632135
667	2.844109178
668	2.843587132
669	2.843065682
670	2.842544778
671	2.842024239
672	2.841504203
673	2.839816779
674	2.839296788
675	2.838777282
676	2.83825808
677	2.83773922
678	2.837220678
679	2.836702723
680	2.836185121
681	2.83566784
682	2.835150728
683	2.834633866
684	2.834117209
685	2.833600983
686	2.83308504
687	2.831413814
688	2.830897362
689	2.830381733
690	2.82986658
691	2.829351791
692	2.828837163
693	2.828322994
694	2.82780907
695	2.827295716
696	2.826782951
697	2.826270708
698	2.82575905
699	2.825247721
700	2.824736809
701	2.823185805
702	2.822674772
703	2.821151545
704	2.820640772
705	2.820130686
706	2.819621011
707	2.819111958
708	2.818603353
709	2.818095144
710	2.817587321
711	2.817079997
712	2.816573013
713	2.816066658
714	2.815560585
715	2.815054664
716	2.813193762
717	2.81268424
718	2.812178262
719	2.811672623
720	2.811167304
721	2.810662344
722	2.810157831
723	2.809653684
724	2.809149887
725	2.808646275
726	2.807002024
727	2.806497323
728	2.805993776
729	2.804132739
730	2.8036296
731	2.803127446
732	2.802625781
733	2.8021244
734	2.801623273
735	2.801122863
736	2.800622895
737	2.800123228
738	2.799623882
739	2.799124871
740	2.798626506
741	2.79812873
742	2.797631589
743	2.797134713
744	2.796638279
745	2.796142211
746	2.795646429
747	2.793940534
748	2.793444692
749	2.792949202
750	2.792453893
751	2.791959073
752	2.79146469
753	2.789818197
754	2.789323633
755	2.788829638
756	2.788336093
757	2.787842767
758	2.787349544
759	2.785894453
760	2.785401064
761	2.784908356
762	2.78441614
763	2.783924206
764	2.783432715
765	2.782941504
766	2.782450635
767	2.78196022
768	2.781470186
769	2.780980438
770	2.780491089
771	2.780002063
772	2.779513384
773	2.779024859
774	2.778536788
775	2.778049228
776	2.777562503
777	2.777076039
778	2.77658984
779	2.776104037
780	2.775618599
781	2.775133416
782	2.77464846
783	2.772918039
784	2.7724328
785	2.771948127
786	2.771463728
787	2.770980013
788	2.770496693
789	2.770013527
790	2.769530822
791	2.769048616
792	2.768566802
793	2.768085253
794	2.767603878
795	2.767122752
796	2.766642085
797	2.766161628
798	2.765681533
799	2.765201721
800	2.76472227
801	2.764243146
802	2.76376435
803	2.763285879
804	2.762807665
805	2.762329923
806	2.76185276
807	2.761376506
808	2.760900444
809	2.760424551
810	2.759948917
811	2.759473494
812	2.75899835
813	2.758523439
814	2.75804878
815	2.75757423
816	2.757099976
817	2.756626159
818	2.754769501
819	2.754295293
820	2.753821582
821	2.752211295
822	2.751737885
823	2.751265126
824	2.750792555
825	2.750320047
826	2.748869131
827	2.748396271
828	2.747923851
829	2.747451681
830	2.74697971
831	2.746508402
832	2.746037617
833	2.745567231
834	2.74509732
835	2.744627724
836	2.744158401
837	2.743689448
838	2.743220864
839	2.742752597
840	2.740763441
841	2.740294884
842	2.739827105
843	2.739359671
844	2.738892692
845	2.738426343
846	2.737960455
847	2.737494964
848	2.737029914
849	2.736565249
850	2.73610077
851	2.73563657
852	2.735172676
853	2.734709213
854	2.734245962
855	2.732676957
856	2.732213634
857	2.731750873
858	2.73021477
859	2.729751775
860	2.728056515
861	2.727592952
862	2.727130123
863	2.726667513
864	2.726205301
865	2.725743404
866	2.725281692
867	2.724820801
868	2.724360507
869	2.723900698
870	2.723441301
871	2.722982354
872	2.722523754
873	2.722065742
874	2.721608008
875	2.721150576
876	2.720693388
877	2.720236494
878	2.71977983
879	2.719323468
880	2.718867442
881	2.718411766
882	2.716470645
883	2.716014465
884	2.715558844
885	2.715103632
886	2.71464874
887	2.714194001
888	2.71373962
889	2.713285625
890	2.712831858
891	2.712378384
892	2.711925274
893	2.711472383
894	2.71101949
895	2.710566757
896	2.710114442
897	2.709662311
898	2.709210491
899	2.70875921
900	2.708308438
901	2.707858049
902	2.707407993
903	2.706958201
904	2.706508718
905	2.706059402
906	2.705610482
907	2.705161987
908	2.704713825
909	2.704265909
910	2.703818138
911	2.703370691
912	2.70292343
913	2.702476364
914	2.702029587
915	2.701583035
916	2.70113684
917	2.700690854
918	2.700245287
919	2.699800045
920	2.699355083
921	2.698910346
922	2.698465764
923	2.698021639
924	2.697577686
925	2.697133878
926	2.696690257
927	2.696246989
928	2.69580397
929	2.695360953
930	2.693666254
931	2.693222883
932	2.692780024
933	2.692337503
934	2.691101557
935	2.690658974
936	2.690216762
937	2.689775364
938	2.689334401
939	2.688893782
940	2.688453403
941	2.68801317
942	2.687573395
943	2.687133875
944	2.686694599
945	2.686255647
946	2.685816786
947	2.685378224
948	2.684939821
949	2.684501812
950	2.682765456
951	2.682327066
952	2.680920556
953	2.680482718
954	2.680045163
955	2.679607693
956	2.679170599
957	2.678733807
958	2.678297533
959	2.677884811
960	2.676560864
961	2.676124518
962	2.675688584
963	2.674527695
964	2.674091733
965	2.673656014
966	2.673220622
967	2.672785553
968	2.672350698
969	2.671916099
970	2.670108015
971	2.669673159
972	2.669239126
973	2.668805413
974	2.668372314
975	2.667939531
976	2.667507085
977	2.667074925
978	2.665677686
979	2.665245682
980	2.664814029
981	2.664382736
982	2.663951821
983	2.663521292
984	2.663090904
985	2.662660708
986	2.662230722
987	2.661800932
988	2.66137148
989	2.660942287
990	2.660513569
991	2.660085251
992	2.658713326
993	2.658284788
994	2.657856646
995	2.657428756
996	2.657001104
997	2.65657397
998	2.656147266
999	2.655720816
